[MSI]	
Submission Title	Rice Imputation Project	
Submission Identifier	
Submission Description	A test file that will auto-destroy in a week
Submission Version	1.2	
Submission Reference Layer	false	
Submission Release Date	2018/05/17	
Submission Update Date	2018/05/17	
Organization Name	Rice Diversity Lab	
Organization Address	160 Emerson Hall, Ithaca, NY 14850, USA	
Organization URI	
Organization Email	
Organization Role	
Term Source Name	NCBI Taxonomy	
Term Source URI	http://www.ncbi.nlm.nih.gov/taxonomy	
Term Source Version	

[SCD]	
Sample Name	Sample Description	Organism	Term Source REF	Term Source ID	Sex	Characteristic[serovar]	Characteristic[mating_type]	Characteristic[sub_strain]	Characteristic[strain]	Characteristic[Scientific Name]	Characteristic[cultivar]	Characteristic[variety]	Characteristic[serotype]	Characteristic[cell_line]	Characteristic[tissue_type]	Characteristic[tissue_lib]	Characteristic[cell_type]	Characteristic[germline]	Characteristic[sub_species]	Characteristic[geographic location (region and locality)]	Characteristic[isolate]	Characteristic[Common Name]	Characteristic[dev_stage]	Characteristic[ecotype]	
04a9a633.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TELIMANI::C1	TELIMANI::C1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Mali	NA	rice	seedling	NA	
04aca4b5.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KELEE::IRGC 66807-1	KELEE::IRGC 66807-1	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
0555b0dd.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CALORO::IRGC 32564-1	CALORO::IRGC 32564-1	NA	NA	leaf	NA	leaf	NA	tej	United States of America	NA	rice	seedling	NA	
05a70989.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	VARY LAVA DE BETAFO::GERVEX 8381-C1	VARY LAVA DE BETAFO::GERVEX 8381-C1	NA	NA	leaf	NA	leaf	NA	trj	Madagascar	NA	rice	seedling	NA	
05b4c5f5.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IAC 164::IRGC 117251-1	IAC 164::IRGC 117251-1	NA	NA	leaf	NA	leaf	NA	trj	Brazil	NA	rice	seedling	NA	
05bef934.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DAKPA::IRGC 64888-1	DAKPA::IRGC 64888-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Bhutan	NA	rice	seedling	NA	
06334433.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	FORTUNA	FORTUNA	NA	NA	leaf	NA	leaf	NA	trj	United States	NA	rice	seedling	NA	
0634f5e4.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DANAU LAUT TAWAR::C1	DANAU LAUT TAWAR::C1	NA	NA	leaf	NA	leaf	NA	ind2	Indonesia	NA	rice	seedling	NA	
068b860d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CHODONGJI	CHODONGJI	NA	NA	leaf	NA	leaf	NA	tej	Republic of Korea	NA	rice	seedling	NA	
071cf19e.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	NOUAKPO::IRGC 56704-1	NOUAKPO::IRGC 56704-1	NA	NA	leaf	NA	leaf	NA	trj	Cote d'Ivoire	NA	rice	seedling	NA	
072145c9.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	LAI::IRGC 15023-1	LAI::IRGC 15023-1	NA	NA	leaf	NA	leaf	NA	admixed-jap	Thailand	NA	rice	seedling	NA	
0745f14c.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	RTS 4	RTS 4	NA	NA	leaf	NA	leaf	NA	admixed-ind	Viet Nam	NA	rice	seedling	NA	
074b77c3.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Akage	Akage	NA	NA	leaf	NA	leaf	NA	tej	India	NA	rice	seedling	NA	
0764178c.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	ARC 10086	ARC 10086	NA	NA	leaf	NA	leaf	NA	trj	India	NA	rice	seedling	NA	
0766f190.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	L 204::GERVEX 1658-C1	L 204::GERVEX 1658-C1	NA	NA	leaf	NA	leaf	NA	admixed-jap	United States of America	NA	rice	seedling	NA	
